City,Delivery_Time_min,Revenue,Restaurant
Chennai,36.1,345.13,KFC
Pune,42.3,1365.04,Pizza Hut
Bangalore,39.8,1670.89,Pizza Hut
Pune,37.2,853.78,Subway
Pune,27.1,1584.88,KFC
Delhi,39.7,1934.28,Pizza Hut
Bangalore,53.8,526.97,Pizza Hut
Bangalore,48.5,1118.16,KFC
Bangalore,50.9,681.21,Domino's
Pune,29.9,1616.78,Pizza Hut
Chennai,25.1,1218.55,Burger King
Bangalore,33.7,1323.98,KFC
Pune,35.6,1626.14,Pizza Hut
Delhi,45.9,882.55,Subway
Chennai,18.1,1842.92,Taco Bell
Delhi,50.3,1136.1,Burger King
Chennai,33.4,442.22,Taco Bell
Pune,30.7,1437.41,Taco Bell
Mumbai,24.9,1617.53,Pizza Hut
Chennai,18.5,736.01,Burger King
Delhi,43.2,1735.78,Burger King
Pune,35.7,1826.37,Domino's
Chennai,22.1,662.27,Taco Bell
Mumbai,22.0,1969.51,Burger King
Mumbai,31.6,410.32,Domino's
Bangalore,51.7,523.73,KFC
Bangalore,32.4,490.82,Domino's
Delhi,20.0,1803.88,Subway
Chennai,32.5,1360.44,Pizza Hut
Chennai,32.3,431.39,KFC
Bangalore,10.0,964.6,KFC
Chennai,34.5,1288.3,Subway
Chennai,32.7,304.41,Domino's
Mumbai,42.0,1782.47,Pizza Hut
Bangalore,53.5,1636.67,Domino's
Pune,46.3,1084.63,Burger King
Bangalore,32.3,1939.18,Domino's
Pune,23.9,922.86,KFC
Mumbai,60.7,1970.6,Pizza Hut
Delhi,35.6,1385.65,Domino's
Chennai,35.1,1324.14,Pizza Hut
Mumbai,34.8,457.02,Pizza Hut
Chennai,37.0,1781.57,Burger King
Delhi,33.6,940.86,Burger King
Delhi,29.3,450.13,KFC
Mumbai,29.5,173.32,Subway
Delhi,34.7,1185.55,Pizza Hut
Pune,29.6,1125.69,Subway
Delhi,27.9,1480.8,KFC
Chennai,36.1,1796.98,Pizza Hut
Chennai,32.5,296.9,Pizza Hut
Chennai,50.0,1503.27,Taco Bell
Chennai,10.0,496.71,Subway
Pune,45.9,1737.63,Domino's
Bangalore,47.5,1665.27,Burger King
Mumbai,14.3,1150.47,Domino's
Chennai,31.6,1463.95,Subway
Delhi,31.3,731.55,Burger King
Chennai,20.9,1021.66,Domino's
Delhi,27.2,1670.03,Taco Bell
Delhi,23.9,999.64,Burger King
Chennai,52.5,811.93,Pizza Hut
Pune,44.4,1064.29,Domino's
Delhi,47.7,1682.26,Burger King
Delhi,42.2,770.13,Taco Bell
Chennai,23.7,471.46,Burger King
Delhi,29.8,1467.23,Burger King
Delhi,39.9,1678.06,Taco Bell
Chennai,22.8,336.18,Domino's
Chennai,42.1,593.77,KFC
Mumbai,32.6,412.65,Domino's
Pune,31.3,793.69,Subway
Pune,42.1,983.15,Taco Bell
